dish_name,dish_type,ingredients,dosha_suitable_for,avoids_for,taste_profile,effect,season
Mint Pasta,Dinner,"cauliflower, wheat, moong dal, oats, carrot","Kapha, Pitta, Vata",,"Bitter, Salty",warming,Winter
Garlic Sandwich,Breakfast,"spinach, ghee, capsicum, peas, broccoli","Kapha, Pitta, Vata",,"Salty, Sour",light,All
Herbal Salad,Snack,"moong dal, ginger, tomato, ragi, ghee","Kapha, Pitta, Vata",,"Astringent, Salty",grounding,Monsoon
Mixed Veg Sprouts Bowl,Dinner,"peas, masoor dal, pumpkin, paneer, ragi","Pitta, Vata",Kapha,"Bitter, Pungent",light,All
Homestyle Upma,Dinner,"cauliflower, ragi, beans, masoor dal, ginger",Vata,"Kapha, Pitta","Bitter, Astringent",stabilizing,All
Spicy Stir Fry,Dinner,"capsicum, garlic, coconut, beans, moong dal","Kapha, Pitta, Vata",,"Sweet, Pungent",grounding,Monsoon
Seasonal Kofta,Breakfast,"broccoli, paneer, cabbage, wheat, moong dal","Pitta, Vata",Kapha,"Pungent, Sweet",grounding,Winter
Protein-Rich Stir Fry,Breakfast,"carrot, lentils, potato, moong dal, ghee",Pitta,"Kapha, Vata","Pungent, Astringent",light,Summer
Homestyle Kofta,Lunch,"garlic, pumpkin, cauliflower, lentils, spinach","Kapha, Pitta, Vata",,"Bitter, Astringent",stabilizing,All
Ayurvedic Dosa,Snack,"beans, garlic, moong dal, ragi, wheat","Kapha, Vata",Pitta,"Salty, Astringent",cooling,Monsoon
Protein-Rich Idli,Snack,"paneer, moong dal, oats, toor dal, onion","Kapha, Pitta, Vata",,"Sour, Salty",grounding,All
Ginger Idli,Snack,"rice, carrot, onion, millet, masoor dal","Kapha, Pitta, Vata",,"Salty, Pungent",light,All
Homestyle Sabzi,Dinner,"sweet potato, onion, ginger, coconut, carrot",Pitta,"Kapha, Vata","Sour, Salty",energizing,Summer
Masala Stew,Snack,"moong dal, oats, rice, ginger, capsicum","Kapha, Pitta, Vata",,"Astringent, Sweet",energizing,Summer
Classic Dosa,Dinner,"rice, millet, oats, pumpkin, sweet potato","Kapha, Pitta, Vata",,"Sweet, Astringent",energizing,Summer
Lemon Curry Bowl,Dinner,"potato, sweet potato, lentils, cauliflower, oats","Kapha, Pitta",Vata,"Bitter, Pungent",light,Summer
Mild Snack Mix,Lunch,"ghee, cabbage, onion, ragi, sweet potato","Kapha, Pitta, Vata",,"Sour, Astringent",warming,Summer
Green Soup,Dinner,"toor dal, pumpkin, sweet potato, ragi, coconut","Pitta, Vata",Kapha,"Bitter, Astringent",light,Monsoon
Warming Paratha,Lunch,"potato, coconut, moong dal, peas, millet","Kapha, Pitta, Vata",,"Astringent, Salty",grounding,Monsoon
Ayurvedic Salad,Snack,"ragi, onion, potato, broccoli, peas","Kapha, Pitta",Vata,"Sweet, Astringent",light,Winter
Lemon Stir Fry,Lunch,"millet, rice, beans, moong dal, paneer",Vata,"Kapha, Pitta","Pungent, Sour",stabilizing,Summer
Classic Dal,Snack,"coconut, rice, millet, tomato, beetroot","Pitta, Vata",Kapha,"Sour, Astringent",stabilizing,All
Light Thali,Breakfast,"capsicum, carrot, peas, tomato, ginger","Kapha, Pitta, Vata",,"Salty, Pungent",light,All
Warming Soup,Dinner,"onion, toor dal, oats, broccoli, beetroot","Pitta, Vata",Kapha,"Bitter, Astringent",stabilizing,All
Traditional Paratha,Lunch,"wheat, potato, onion, ginger, garlic","Kapha, Pitta, Vata",,"Pungent, Sweet",stabilizing,All
Fresh Cutlet,Lunch,"cauliflower, onion, moong dal, garlic, capsicum","Kapha, Vata",Pitta,"Salty, Bitter",stabilizing,Monsoon
Ayurvedic Kadhi,Dinner,"capsicum, coconut, toor dal, sweet potato, rice",Vata,"Kapha, Pitta","Sour, Astringent",warming,Winter
