digestion,sleep,energy,temperature_preference,mood,body_frame,dosha
fast,light,moderate,cold,anxious,slim,Vata
fast,light,moderate,cold,anxious,slim,Vata
slow,deep,low,moderate,calm,broad,Kapha
moderate,moderate,high,warm,irritable,medium,Pitta
moderate,moderate,high,warm,irritable,medium,Pitta
moderate,moderate,high,warm,irritable,medium,Pitta
fast,light,moderate,cold,enthusiastic,slim,Vata
slow,deep,low,cold,calm,broad,Kapha
fast,light,high,cold,anxious,slim,Vata
moderate,moderate,high,warm,irritable,medium,Pitta
fast,light,moderate,cold,enthusiastic,slim,Vata
slow,deep,low,cold,calm,broad,Kapha
slow,deep,low,moderate,calm,broad,Kapha
moderate,moderate,high,warm,enthusiastic,medium,Pitta
slow,deep,low,cold,calm,broad,Kapha
fast,light,moderate,cold,enthusiastic,slim,Vata
moderate,moderate,high,warm,irritable,medium,Pitta
moderate,moderate,high,warm,irritable,medium,Pitta
fast,light,moderate,cold,enthusiastic,slim,Vata
moderate,moderate,high,warm,irritable,medium,Pitta
slow,deep,low,cold,calm,broad,Kapha
slow,deep,low,cold,calm,broad,Kapha
slow,deep,moderate,moderate,calm,broad,Kapha
moderate,moderate,high,warm,enthusiastic,medium,Pitta
slow,deep,moderate,cold,calm,broad,Kapha
fast,light,moderate,cold,enthusiastic,slim,Vata
fast,light,high,cold,anxious,slim,Vata
slow,deep,moderate,moderate,calm,broad,Kapha
moderate,moderate,high,warm,irritable,medium,Pitta
fast,light,moderate,cold,anxious,slim,Vata
fast,light,moderate,cold,enthusiastic,slim,Vata
slow,deep,low,moderate,calm,broad,Kapha
slow,deep,moderate,cold,calm,broad,Kapha
moderate,moderate,high,warm,enthusiastic,medium,Pitta
fast,light,high,cold,anxious,slim,Vata
fast,light,moderate,cold,enthusiastic,slim,Vata
fast,light,high,cold,anxious,slim,Vata
fast,light,moderate,cold,anxious,slim,Vata
fast,light,high,cold,enthusiastic,slim,Vata
moderate,moderate,high,warm,enthusiastic,medium,Pitta
moderate,moderate,high,warm,enthusiastic,medium,Pitta
moderate,moderate,high,warm,enthusiastic,medium,Pitta
fast,light,high,cold,enthusiastic,slim,Vata
moderate,moderate,high,warm,irritable,medium,Pitta
moderate,moderate,high,warm,enthusiastic,medium,Pitta
moderate,moderate,high,warm,irritable,medium,Pitta
moderate,moderate,high,warm,irritable,medium,Pitta
slow,deep,low,cold,calm,broad,Kapha
fast,light,moderate,cold,enthusiastic,slim,Vata
slow,deep,low,moderate,calm,broad,Kapha
fast,light,high,cold,anxious,slim,Vata
fast,light,high,cold,enthusiastic,slim,Vata
fast,light,high,cold,anxious,slim,Vata
moderate,moderate,high,warm,irritable,medium,Pitta
